,0
0,"LURJAVEA6KA009378,1576114812,210.8"
1,"LURJAVEA8KA009379,1576132877,231.3"
2,"LURJAVEA4KA009380,1576130305,229.8"
3,"LURJAVEA6KA009381,1576130288,212.2"
4,"LURJAVEA8KA009382,1576129216,209.0"
5,"LURJAVEAXKA009383,1576140204,173.3"
6,"LURJAVEA1KA009384,1576130926,193.8"
7,"LURJAVEA3KA009385,1576202177,214.5"
8,"LURJAVEA5KA009386,1576226249,219.3"
9,"LURJAVEA7KA009387,1576130956,218.1"
10,"LURJAVEA9KA009388,1576139624,197.6"
11,"LURJAVEA0KA009389,1576132806,228.8"
12,"LURJAVEA7KA009390,1576133462,201.7"
13,"LURJAVEA9KA009391,1576131670,241.2"
14,"LURJAVEA0KA009392,1576129760,210.7"
15,"LURJAVEA5KA009341,1576132269,167.0"
16,"LURJAVEA7KA009325,1576139638,217.6"
17,"LURJAVEA6KA009395,1576132270,218.5"
18,"LURJAVEA8KA009396,1576137081,215.2"
19,"LURJAVEAXKA009397,1576131591,237.1"
20,"LURJAVEA8KA009303,1576200407,169.6"
21,"LURJAVEA1KA009398,1576140842,256.9"
22,"LURJAVEA3KA009399,1576134586,237.5"
23,"LURJAVEA6KA009400,1576134729,193.1"
24,"LURJAVEA8KA009401,1576137526,200.9"
25,"LURJAVEAXKA009402,1576134050,202.3"
26,"LURJAVEA1KA009403,1576136010,207.6"
27,"LURJAVEA3KA009404,1576138616,193.8"
28,"LURJAVEA5KA009405,1576139061,171.8"
29,"LURJAVEA0KA009408,1576214693,190.6"
30,"LURJAVEA2KA009409,1576140172,220.1"
31,"LURJAVEA9KA009410,1576202462,200.1"
32,"LURJAVEA0KA009411,1576201074,201.0"
33,"LURJAVEA2KA009412,1576224373,221.4"
34,"LURJAVEA4KA009413,1576140754,204.1"
35,"LURJAVEA6KA009414,1576138630,198.6"
36,"LURJAVEA8KA009415,1576222603,212.6"
37,"LURJAVEAXKA009416,1576139075,213.1"
38,"LURJAVEA1KA009417,1576220916,215.7"
39,"LURJAVEA3KA009418,1576220745,203.8"
40,"LURJAVEA5KA009419,1576215833,207.8"
41,"LURJAVEA1KA009420,1576461144,218.0"
42,"LURJAVEA3KA009421,1576223824,219.3"
43,"LURJAVEA5KA009422,1576141437,212.2"
44,"LURJAVEA7KA009423,1576201636,207.6"
45,"LURJAVEA9KA009424,1576217808,206.8"
46,"LURJAVEA0KA009425,1576217131,222.4"
47,"LURJAVEA2KA009426,1576221431,193.6"
48,"LURJAVEA4KA009427,1576202172,209.3"
49,"LURJAVEA6KA009428,1576223284,206.3"
50,"LURJAVEA8KA009429,1576225491,220.6"
51,"LURJAVEA4KA009430,1576223272,211.9"
52,"LURJAVEA6KA009431,1576224387,185.3"
53,"LURJAVEA8KA009432,1576215265,208.9"
54,"LURJAVEAXKA009433,1576202403,205.1"
55,"LURJAVEA1KA009434,1576225020,216.7"
56,"LURJAVEA3KA009435,1576286596,218.6"
57,"LURJAVEA5KA009436,1576226250,205.5"
58,"LURJAVEA7KA009437,1576215265,211.6"
59,"LURJAVEA9KA009438,1576222622,218.0"
60,"LURJAVEA7KA009406,1576224957,205.1"
61,"LURJAVEA9KA009407,1576216475,212.9"
62,"LURJAVEA0KA009439,1576288441,177.1"
63,"LURJAVEA7KA009440,1576217129,186.3"
64,"LURJAVEA9KA009441,1576227349,206.2"
65,"LURJAVEA0KA009442,1576288458,202.8"
66,"LURJAVEA2KA009443,1576219573,220.3"
67,"LURJAVEA6KA009445,1576215826,222.7"
68,"LURJAVEA8KA009446,1576216463,212.0"
69,"LURJAVEAXKA009447,1576225032,223.3"
70,"LURJAVEA1KA009448,1576461206,199.4"
71,"LURJAVEA3KA009449,1576552951,95.7"
72,"LURJAVEAXKA009450,1576218446,214.2"
73,"LURJAVEA1KA009451,1576220232,212.1"
74,"LURJAVEA3KA009452,1576220214,210.3"
75,"LURJAVEA2KA009393,1576467139,202.3"
76,"LURJAVEA4KA009394,1576218476,199.8"
77,"LURJAVEA9KA009455,1576219029,208.0"
78,"LURJAVEA0KA009456,1576226788,180.0"
79,"LURJAVEA2KA009457,1576219581,212.8"
80,"LURJAVEA4KA009458,1576221423,218.0"
81,"LURJAVEA6KA009459,1576227749,209.1"
82,"LURJAVEA8KA009463,1576225580,208.6"
83,"LURJAVEAXKA009464,1576226074,216.1"
84,"LURJAVEA1KA009465,1576221973,190.6"
85,"LURJAVEA3KA009466,1576222068,199.3"
86,"LURJAVEA5KA009467,1576223878,202.3"
87,"LURJAVEA7KA009468,1576223256,203.6"
88,"LURJAVEA9KA009469,1576223862,205.8"
89,"LURJAVEA5KA009470,1576227792,213.3"
90,"LURJAVEA7KA009471,1576227891,223.5"
91,"LURJAVEA0KA009473,1576225572,212.7"
92,"LURJAVEA2KA009474,1579506641,207.6"
93,"LURJAVEA4KA009475,1576226811,196.2"
94,"LURJAVEA6KA009476,1576287262,203.5"
95,"LURJAVEA8KA009477,1576462881,213.3"
96,"LURJAVEAXKA009478,1576226794,206.8"
97,"LURJAVEA8KA009480,1576290360,204.2"
98,"LURJAVEAXKA009481,1576227369,221.6"
99,"LURJAVEA1KA009482,1576227347,234.5"
100,"LURJAVEA3KA009483,1576289699,217.7"
101,"LURJAVEA5KA009484,1576466605,213.7"
102,"LURJAVEA7KA009485,1576289050,220.1"
103,"LURJAVEA9KA009486,1576462399,191.8"
104,"LURJAVEA0KA009487,1576287235,201.3"
105,"LURJAVEA2KA009488,1576459539,198.4"
106,"LURJAVEA4KA009489,1576287902,208.0"
107,"LURJAVEA0KA009490,1576464855,205.6"
108,"LURJAVEA4KA009444,1576287898,202.0"
109,"LURJAVEA4KA009492,1576289031,201.5"
110,"LURJAVEA6KA009493,1576289669,196.1"
111,"LURJAVEA8KA009494,1576467609,178.0"
112,"LURJAVEAXKA009495,1576290330,203.4"
113,"LURJAVEA1KA009496,1576464861,200.1"
114,"LURJAVEA3KA009497,1578717187,182.1"
115,"LURJAVEA5KA009498,1582766204,84.1"
116,"LURJAVEA7KA009499,1582102037,204.8"
117,"LURJAVEAXKA009500,1576462449,209.3"
118,"LURJAVEA1KA009501,1582763664,134.3"
119,"LURJAVEA3KA009502,1578717289,202.3"
120,"LURJAVEA5KA009503,1582767712,237.4"
121,"LURJAVEA7KA009504,1576485749,199.3"
122,"LURJAVEA9KA009505,1582706793,210.3"
123,"LURJAVEA0KA009506,1581221669,215.5"
124,"LURJAVEA2KA009507,1582100749,209.3"
125,"LURJAVEA4KA009508,1576463315,214.0"
126,"LURJAVEA6KA009509,1576550378,199.5"
127,"LURJAVEA2KA009510,1576485762,240.7"
128,"LURJAVEA4KA009511,1576465755,236.0"
129,"LURJAVEA6KA009512,1576458761,210.1"
130,"LURJAVEA8KA009513,1576546956,184.3"
131,"LURJAVEAXKA009514,1582513797,214.5"
132,"LURJAVEA1KA009515,1576481478,196.8"
133,"LURJAVEA3KA009516,1582449939,215.5"
134,"LURJAVEA5KA009517,3789427405,112.6"
135,"LURJAVEA7KA009518,1582677434,226.1"
136,"LURJAVEA7KA009454,1576482470,220.5"
137,"LURJAVEA1KA009479,1576467147,218.0"
138,"LURJAVEA5KA009520,1582619519,134.9"
139,"LURJAVEA7KA009521,1582591688,133.6"
140,"LURJAVEA9KA009522,1582248469,219.3"
141,"LURJAVEA0KA009523,1576484562,203.8"
142,"LURJAVEA2KA009524,1582710638,275.0"
143,"LURJAVEA4KA009525,1578100593,238.1"
144,"LURJAVEA6KA009526,3791514346,307.1"
